Loop,Gain,Manual,Autotuned,Ratio
roll,Kp,1.05,2.12969467796214,2.02828064567823
roll,Ki,0.12,0.104101276084688,0.867510634039065
roll,Kd,0.18,0.114410995707618,0.635616642820101
pitch,Kp,1.65,1.95473303026507,1.18468668500913
pitch,Ki,0.1,0.0927322831949952,0.927322831949952
pitch,Kd,0.28,0.250273922764181,0.893835438443503
course,Kp,1.2,4.8,4
course,Ki,0.08,0.00800000000000024,0.100000000000003
altitude,Kp,0.02,0.0311483831459643,1.55741915729822
altitude,Ki,0.0015,0.000669447120933501,0.446298080622334
airspeed,Kp,0.07,0.27840937639983,3.97727680571185
airspeed,Ki,0.025,0.0454221714563844,1.81688685825538
